pi_system_time_s,status_code,uwb_data.local_node.id,uwb_data.local_node.role,uwb_data.anchor_info.anchor_count,dis_0,dis_1,dis_2,dis_3,imu_data.IMU_temp,imu_data.accX,imu_data.accY,imu_data.accZ,imu_data.gyroX,imu_data.gyroY,imu_data.gyroZ,imu_data.MagX,imu_data.MagY,imu_data.MagZ,imu_data.magX,imu_data.magY,imu_data.magZ,imu_data.roll,imu_data.tilt,imu_data.pan,imu_data.Qw,imu_data.Qx,imu_data.Qy,imu_data.Qz,imu_data.timestamp,imu_data.readtime
1742703763.822190,,0,Tag,4,5.937,3.682,3.616,6.148,,9.671832,-1.147259,0.100767,-0.072268,0.069425,0.11684300000000000,-1290.861312,-481.66864,356.515296,-1290.0,-465.0,381.0,-83.242688,84.882104,139.568656,-0.229981,0.6342910000000000,0.304015,0.672574,58627.095,58629.481
1742703763.841550,,0,Tag,4,5.952,3.694,3.612,6.207,,9.709922000000000,-1.149211,0.108468,-0.0023210000000000000,0.066906,0.169841,-1284.85376,-484.530528,353.39811200000000,-1284.0,-468.0,378.0,-83.243296,84.873784,139.576192,-0.229983,0.63429,0.30400500000000000,0.6725790000000000,58647.095,58649.482
1742703763.863040,,0,Tag,4,5.964,3.659,3.633,6.214,,9.744891000000000,-1.140636,0.109244,-0.07208000000000000,-0.039611,-0.00032000000000000000,-1287.8613760000000,-483.16707200000000,356.455136,-1287.0,-466.5,381.0,-83.243352,84.864728,139.584336,-0.229981,0.6342870000000000,0.303996,0.6725870000000000,58667.095,58669.515
1742703763.882420,,0,Tag,4,5.909,3.68,3.605,6.239,,9.718316,-1.1567130000000000,0.10044500000000000,0.068218,-0.06915200000000000,0.0060540000000000000,-1290.8545280000000,-477.038272,353.72099200000000,-1290.0,-460.5,378.0,-83.242976,84.86056000000000,139.58801600000000,-0.229977,0.634284,0.303994,0.672592,58687.095,58689.479
1742703763.901910,,0,Tag,4,5.954,3.698,3.647,6.211,,9.674226000000000,-1.150801,0.102131,0.120612,-0.071558,0.05899,-1286.361472,-481.66864,356.526304,-1285.5,-465.0,381.0,-83.243,84.865016,139.585488,-0.229987,0.634282,0.304006,0.672585,58707.095,58709.478
1742703763.922380,,0,Tag,4,5.949,3.668,3.574,6.196,,9.709721,-1.149003,0.095729,0.053615000000000000,-0.059566000000000000,0.126146,-1283.36512,-481.73616,358.03209600000000,-1282.5,-465.0,382.5,-83.243408,84.867328,139.583856,-0.229993,0.6342830000000000,0.304009,0.672581,58727.095,58729.514
1742703763.940780,,0,Tag,4,5.932,3.673,3.593,6.193,,9.736078,-1.141805,0.110873,-0.0022920000000000000,-0.0019300000000000000,0.11419700000000000,-1280.346368,-487.392384,350.277248,-1279.5,-471.0,375.0,-83.24420000000000,84.867344,139.584512,-0.23000100000000000,0.634284,0.304008,0.672578,58747.095,58749.477
1742703763.961250,,0,Tag,4,5.942,3.651,3.569,6.236,,9.711153,-1.151992,0.098982,0.06845800000000000,0.0017520000000000000,0.00895,-1289.3685760000000,-483.30211200000000,359.448288,-1288.5,-466.5,384.0,-83.244464,84.86380800000000,139.587424,-0.23000000000000000,0.634284,0.304002,0.672581,58767.095,58769.48
1742703763.982840,,0,Tag,4,5.935,3.63,3.609,6.209,,9.67446,-1.148957,0.100141,-0.016432,-0.030202,0.11298800000000000,-1292.365312,-478.739264,358.145088,-1291.5,-462.0,382.5,-83.243584,84.86817600000000,139.583168,-0.22999400000000000,0.634284,0.304009,0.67258,58787.095,58789.515
1742703764.001240,,0,Tag,4,5.932,3.71,3.567,6.144,,9.70279,-1.143723,0.09616900000000000,-0.07191,0.072182,0.046512,-1293.87648,-478.94176,362.636704,-1293.0,-462.0,387.0,-83.24393600000000,84.855496,139.59496,-0.22999500000000000,0.6342790000000000,0.303998,0.672589,58807.095,58809.479
1742703764.021700,,0,Tag,4,5.966,3.71,3.619,6.2,,9.736071000000000,-1.138302,0.108336,0.067774,0.031003,0.168643,-1289.3646080000000,-484.733024,357.88240000000000,-1288.5,-468.0,382.5,-83.24450400000000,84.851056,139.598848,-0.22999700000000000,0.63428,0.30399,0.6725910000000000,58827.095,58829.479
1742703764.043220,,0,Tag,4,5.98,3.654,3.558,6.2,,9.704895000000000,-1.139154,0.10202,0.05345,-0.005599,0.198794,-1287.8728960000000,-478.87427200000000,361.15296,-1287.0,-462.0,385.5,-83.245176,84.854816,139.59603200000000,-0.230005,0.634282,0.303993,0.672585,58847.095,58849.514
1742703764.061620,,0,Tag,4,5.942,3.67,3.626,6.139,,9.674226000000000,-1.154208,0.107066,0.068011,-0.001692,0.09686400000000000,-1289.376,-483.43712,362.445152,-1288.5,-466.5,387.0,-83.245296,84.85171200000000,139.59888000000000,-0.230005,0.634281,0.30399,0.672588,58867.095,58869.482
1742703764.082050,,0,Tag,4,5.894,3.663,3.612,6.184,,9.704005,-1.146301,0.091719,0.067539,-0.074389,0.139683,-1289.383552,-480.575264,365.577088,-1288.5,-463.5,390.0,-83.244824,84.855504,139.59584000000000,-0.230006,0.63428,0.303998,0.672585,58887.095,58889.516
1742703764.102470,,0,Tag,4,5.98,3.663,3.637,6.2,,9.729653000000000,-1.143464,0.112067,0.025985000000000000,0.054612,0.116614,-1289.379584,-483.50464,363.94361600000000,-1288.5,-466.5,388.5,-83.245736,84.85444800000000,139.597216,-0.230013,0.634281,0.30399500000000000,0.6725830000000000,58907.095,58909.513
1742703764.121830,,0,Tag,4,5.923,3.689,3.548,6.171,,9.705181,-1.151775,0.10491200000000000,0.04998,-0.039788,0.165684,-1289.361024,-484.665536,356.383936,-1288.5,-468.0,381.0,-83.245296,84.847296,139.60521600000000,-0.230018,0.634273,0.30399900000000000,0.6725870000000000,58927.095,58929.48
1742703764.142290,,0,Tag,4,5.964,3.673,3.586,6.248,,9.693517,-1.1480330000000000,0.09743400000000000,0.06828,0.041814,0.073986,-1283.3652480000000,-480.237664,358.09961600000000,-1282.5,-463.5,382.5,-83.24509600000000,84.853296,139.599952,-0.230019,0.634274,0.304006,0.672582,58947.095,58949.514
1742703764.161670,,0,Tag,4,5.93,3.684,3.569,6.198,,9.702044000000000,-1.1419680000000000,0.104019,0.01206,0.027995,0.073207,-1292.361344,-481.66864,356.511616,-1291.5,-465.0,381.0,-83.245992,84.851168,139.601104,-0.230019,0.634278,0.303996,0.6725830000000000,58967.095,58969.518000000000
1742703764.182080,,0,Tag,4,5.937,3.644,3.586,6.229,,9.726551000000000,-1.137286,0.104589,-0.001963,0.069663,0.09951,-1295.3460480000000,-487.392384,350.240544,-1294.5,-471.0,375.0,-83.246408,84.842888,139.609504,-0.23002500000000000,0.634274,0.303991,0.6725870000000000,58987.095,58989.478
